"","baseMean","log2FoldChange.x","lfcSE.x","stat","pvalue.x","padj.x","log2FoldChange.y","lfcSE.y","pvalue.y","padj.y"
"Spaca6",52.5987117903128,-1.41397070568225,0.487092345229103,-2.90288016129095,0.00369748093993348,0.0132933495494429,-1.01820466697243,0.576258249972214,0.00369748093993348,0.0132933495494429
"Atf3",1254.73565093518,-1.05069954732887,0.142618826521138,-7.36718687818641,1.7426612210592e-13,3.65754865978494e-12,-1.01774890431008,0.144024078591904,1.7426612210592e-13,3.65754865978494e-12
"Stau2",363.925618054,-1.05586227901247,0.150014906915183,-7.03838238962108,1.94484356564817e-12,3.67063632969176e-11,-1.01734270179509,0.151758936556848,1.94484356564817e-12,3.67063632969176e-11
"Tmem171",228.661560780832,-1.08487127088602,0.208224385103015,-5.21010673341308,1.88732025581339e-07,1.82073455270667e-06,-1.01599274486036,0.213067956892118,1.88732025581339e-07,1.82073455270667e-06
"Peak1",4362.47421273857,-1.02198301455296,0.084296790140482,-12.1236290593011,7.91740214452588e-34,7.30671428793708e-32,-1.01312599121596,0.0846104367860501,7.91740214452588e-34,7.30671428793708e-32
"Adamtsl5",38.015738349989,-1.21300979458132,0.355261225846263,-3.41441650912461,0.000639187802981568,0.00292490073565442,-1.01202989408385,0.379617666703939,0.000639187802981568,0.00292490073565442
"Rps6ka2",439.837585338353,-1.07258254107681,0.193593275430484,-5.54039151768965,3.01796148399839e-08,3.30239185576842e-07,-1.01142845360515,0.198836913360387,3.01796148399839e-08,3.30239185576842e-07
"Cdc42bpa",152.57082194177,-1.0855832371533,0.224244275495254,-4.84107447004272,1.29138962421582e-06,1.06843976094481e-05,-1.00499419750773,0.230059039141861,1.29138962421582e-06,1.06843976094481e-05
"Ggact",94.9971468106769,-1.07015536448855,0.20298350604007,-5.27212966888696,1.34849745620954e-07,1.33372668029046e-06,-1.00435701560769,0.207355833254368,1.34849745620954e-07,1.33372668029046e-06
"Dyrk1b",102.383811028057,1.08093989395621,0.222184283429429,4.86506010808609,1.14422028106602e-06,9.57407249843975e-06,1.0007565625234,0.228587104564574,1.14422028106602e-06,9.57407249843975e-06
"Cd244a",459.23406701382,1.0524215467641,0.177508291031819,5.92885853751725,3.05047737648244e-09,3.83248664186497e-08,1.00235273422151,0.180367219402105,3.05047737648244e-09,3.83248664186497e-08
"Maml3",600.17382059635,1.03276588400579,0.123203561083904,8.38259766941691,5.17722021522137e-17,1.53615344967479e-15,1.0083968779145,0.124161693095045,5.17722021522137e-17,1.53615344967479e-15
