"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vsir",1.3526041876102e-06,-0.361173854064766,0.566,0.592,0.0216863029399543
"Calm2",3.92407700214018e-09,-0.375159750232337,0.777,0.799,6.29147265753136e-05
"Rgs10",8.7686826332639e-12,-0.377750142879259,0.868,0.849,1.4058828865912e-07
"Lamp1",6.1479602872118e-14,-0.383495129328193,0.873,0.865,9.85702472848667e-10
"Col14a1",1.44328897123517e-15,-0.396987753414329,0.035,0.161,2.31402520758135e-11
"Fcgr3",5.47804062981946e-11,-0.400145915802669,0.831,0.84,8.78294254178955e-07
"Gm8797",5.02222032005009e-12,-0.402086152979526,0.055,0.169,8.05212583913631e-08
"Ang",1.99909380374468e-07,-0.407465409786314,0.107,0.197,0.00320514709554385
"Timp2",2.55101957247914e-06,-0.410426448154355,0.726,0.722,0.040900496805558
"Gna12",4.48899544522233e-10,-0.422309882782349,0.119,0.237,7.19720639732497e-06
"Cd93",9.69016294108548e-15,-0.452655929528228,0.019,0.125,1.55362382434424e-10
"Rab3il1",2.98236754550821e-13,-0.458416498280214,0.137,0.288,4.7816298857133e-09
"Irf8",7.11250543396277e-08,-0.468504614986085,0.23,0.334,0.00114034799622725
"Pdlim4",1.89048518844802e-15,-0.472520512491108,0.123,0.288,3.03101490263871e-11
"Tmem176b",2.07962741672576e-22,-0.472524179844242,0.956,0.954,3.33426663723641e-18
"Slc29a1",5.99490305482028e-08,-0.491961738320462,0.277,0.37,0.000961162806779336
"Slco2b1",4.14565452312702e-22,-0.510522326047704,0.025,0.183,6.64672789692955e-18
"Trf",2.66145383510276e-11,-0.51055794174518,0.838,0.831,4.26710893382025e-07
"Tmem119",7.668511538115e-25,-0.513613934243459,0.028,0.202,1.22949245490598e-20
"Maf",9.41179784914661e-18,-0.516010153717388,0.012,0.13,1.50899354915368e-13
"Serpinf1",1.40515398429273e-20,-0.522590129798619,0.047,0.212,2.25288338301653e-16
"Tubb2a",3.7283777384335e-10,-0.526953389536654,0.249,0.38,5.97770802803044e-06
"Atf3",4.16100875394101e-12,-0.531021202112079,0.892,0.905,6.67134533519363e-08
"Trim47",2.41829592090567e-13,-0.53674742142331,0.122,0.266,3.87725384998806e-09
"Lyz2",3.11862454910704e-23,-0.537385394457448,0.993,0.998,5.00009073958331e-19
"Ms4a6b",2.56224544505625e-10,-0.539898857664288,0.42,0.533,4.10804812205868e-06
"Rab7b",2.98357309344746e-12,-0.543200120176853,0.237,0.395,4.78356274072431e-08
"Egr1",2.2371888829521e-06,-0.543517672901167,0.659,0.697,0.035868849360371
"Lair1",3.79737846737816e-14,-0.545879665988056,0.199,0.365,6.08833689674741e-10
"Abca1",9.95056111695481e-15,-0.546739065699352,0.054,0.188,1.59537346388137e-10
"Atp2b1",6.8367435410609e-11,-0.550482206686079,0.594,0.681,1.09613509193829e-06
"Snx5",2.81935903723985e-13,-0.55466006651519,0.511,0.604,4.52027834440665e-09
"Anxa3",6.33469079340568e-15,-0.557090285068793,0.324,0.482,1.01564097490673e-10
"Gpr34",1.89227225341223e-07,-0.557486156798847,0.184,0.28,0.00303388010389584
"Ctsl",1.38636231504598e-10,-0.559483166131694,0.332,0.459,2.22275469971322e-06
"Cltc",7.2259634834652e-08,-0.562749020897033,0.436,0.508,0.00115853872530398
"Gas6",1.91582513227104e-08,-0.563067582502264,0.06,0.148,0.000307164243457015
"Rgl1",1.88832233320402e-08,-0.56577426035751,0.126,0.238,0.000302754719682601
"Cx3cr1",6.0398854923569e-10,-0.575347367869138,0.416,0.515,9.68374840989582e-06
"Lst1",2.16202032161747e-21,-0.576152527842018,0.679,0.798,3.46636718164929e-17
"Vcam1",7.58741830019344e-15,-0.582915993150511,0.019,0.127,1.21649077607001e-10
"Cbr2",4.57776021510611e-07,-0.583638555723082,0.072,0.155,0.00733952295287962
"Adgre1",1.58211408948122e-12,-0.587232983576486,0.596,0.653,2.53660351966525e-08
"Ftl1",1.14388160249172e-50,-0.594863124015076,0.999,1,1.83398537327498e-46
