"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pycard",1.70722721580129e-115,0.618714373810547,0.99,0.959,2.7371973950942e-111
"Acly",1.70899172884599e-115,0.454404080601079,0.998,0.987,2.74002643885878e-111
"Prickle1",2.0307695645451e-113,-0.795295363582514,0.228,0.575,3.25593284283516e-109
"Cyba",8.80023476999253e-113,0.427824184917984,0.997,0.996,1.4109416406729e-108
"Fn1",1.50087634100723e-112,0.31336306923098,1,0.999,2.40635503753689e-108
"Col18a1",2.921207863697e-112,-0.318504944433332,0.003,0.229,4.68357256786541e-108
"Ccr5",5.25768714439627e-111,0.64519112229623,0.905,0.664,8.42964979861053e-107
"Itga6",2.37430604054802e-109,0.441257205776306,1,0.996,3.80672487481064e-105
"Cst3",1.46652492412543e-108,0.349083726365777,1,0.999,2.3512794108503e-104
"Tcim",2.13604890337964e-108,-0.290132508133403,0.016,0.256,3.42472720678857e-104
"Itgam",2.96122847976285e-107,0.412800709200435,0.998,0.996,4.74773762160377e-103
"Chil3",4.99578088419402e-107,1.66455382654968,0.3,0.008,8.00973549162828e-103
"Mertk",5.11121428178807e-107,-0.601561899842287,0.682,0.89,8.19480985799082e-103
"Lsr",6.23271256548682e-107,0.538873596663916,0.711,0.383,9.99290805624502e-103
"Dpysl3",4.48345682605997e-106,-0.519225145689723,0.177,0.526,7.18832632922195e-102
"Arhgap12",5.73758180819528e-106,-0.646027884804075,0.829,0.933,9.19906491307949e-102
"Dbi",6.70994849757089e-106,0.490221076163236,0.991,0.966,1.07580604261554e-101
"Zdhhc14",1.41976247159993e-104,-0.589775829710703,0.314,0.647,2.27630517071618e-100
"Pid1",4.78693653703062e-103,0.674926904072854,0.997,0.988,7.67489534982119e-99
"Plekha6",5.88947413478295e-100,-0.451606474125295,0.148,0.471,9.4425938802975e-96
"Abr",4.33386253819898e-99,0.625830373562809,0.942,0.832,6.94848180749443e-95
"Rassf2",1.33241361580229e-98,-0.342382459265921,0.137,0.448,2.13625875021582e-94
"Fgr",3.50346469748406e-98,0.574578557737405,0.943,0.827,5.61710494947619e-94
"Cd300a",3.69901191545911e-98,0.53994562242244,0.937,0.855,5.93062580405559e-94
"Ptgis",1.04729039079112e-97,0.580511033631107,0.975,0.917,1.6791206835554e-93
"Tmsb10",1.40196997416054e-97,0.683489180340992,0.895,0.713,2.2477784595716e-93
"C5ar1",2.25605156964384e-97,-0.499229273245543,0.52,0.795,3.61712748160997e-93
"Marveld1",2.67564533941112e-97,-0.411004131722758,0.193,0.51,4.28986217267786e-93
