"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tnfaip2",0.0732620986664335,0.276457960472707,0.269,0.22,1
"Bag1",0.0733001308619617,-0.00580217564825158,0.547,0.434,1
"Lemd2",0.0733211646592366,-0.0166442883854762,0.273,0.209,1
"Aig1",0.0736045189874209,0.0494114394087201,0.118,0.086,1
"Pmpcb",0.0736274984592564,0.00628402969532088,0.205,0.156,1
"Bcat2",0.0737075074915727,-0.0162066927907571,0.176,0.132,1
"Pin1",0.0737334093320168,-0.0122017344211905,0.28,0.214,1
"Adap1",0.0737964093724387,-0.0477910605206196,0.155,0.113,1
"Arhgap39",0.073891515160492,0.0286766386427701,0.104,0.074,1
"Tmem165",0.0742968195035936,0.0359444259706078,0.222,0.173,1
"Tfeb",0.074353618577055,0.0227592204372499,0.125,0.09,1
"Dok2",0.0745936342572942,-0.0524195985558552,0.345,0.265,1
"Aggf1",0.0746869071604084,0.018889764340923,0.104,0.074,1
"Maz",0.0747845943851809,-0.0112994022033421,0.22,0.168,1
"Numa1",0.075174411167668,-0.168892718496579,0.098,0.123,1
"Pak2",0.0752978742800009,0.00294229173407512,0.524,0.423,1
"BC031181",0.0753344184990392,0.00209832395851495,0.471,0.37,1
"Ggh",0.0754459359408638,-0.0352639520719356,0.489,0.382,1
"Sap18",0.0755331647975485,-0.0167176786253039,0.392,0.306,1
"Babam2",0.0756582732030105,-0.0370738103183017,0.191,0.141,1
"Matr3",0.0758357262644994,-0.0308016853384588,0.222,0.168,1
"Gsap",0.0764054752013297,-0.0229487316471692,0.152,0.112,1
"Itprip",0.0766775820905692,-0.0128334518995058,0.114,0.081,1
"Pdlim1",0.0769454745951837,-0.0301164986421011,0.303,0.238,1
"Pex7",0.0771633952299648,0.00119116073354675,0.114,0.081,1
"Dtymk",0.0775169280087682,0.0330919881516688,0.14,0.104,1
"Tprgl",0.0775597167312721,-0.0771422996277308,0.45,0.347,1
"Ifitm6",0.0775776798111343,0.0316159796532073,0.201,0.158,1
"Eid1",0.0775973793099034,-0.160635741841576,0.271,0.291,1
"Nudt16l1",0.0776187012232793,-0.0220471752514666,0.1,0.069,1
"Chchd7",0.077717085065423,-0.0693070287590505,0.224,0.168,1
"Csnk1g3",0.0777653926556276,0.0320896921724163,0.165,0.123,1
"Ptcd2",0.07779169134578,-0.0257317106800036,0.114,0.081,1
"Rpl13",0.0778248334101787,0.0334234042000405,1,0.998,1
"Rbm39",0.0779018245733378,-0.271920160094375,0.591,0.551,1
"Ifi204",0.0781614503221117,-0.169762623971206,0.235,0.26,1
"Wbp1l",0.0783400023772045,-0.0178053659683351,0.109,0.077,1
"Ndufaf3",0.0784186651841293,-0.00632213752217314,0.172,0.13,1
"Cks2",0.0785571376958893,0.0757286739932208,0.285,0.23,1
"Rassf3",0.0786787936008214,-0.170514463576775,0.173,0.202,1
"Sqor",0.0787649905537785,-0.0352427180419659,0.245,0.184,1
"Selenoh",0.078838985502315,0.0315305634718064,0.284,0.227,1
