"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hopx",3.55577909437254e-40,0.340317986239755,0.652,0.471,5.70098062200749e-36
"Samd9l",1.37290761324338e-46,0.340286655184797,0.754,0.589,2.20118277631312e-42
"Lst1",1.00664875662277e-30,0.339674820005956,0.521,0.352,1.61395995149328e-26
"Serp1",1.56144341881341e-51,0.338909596056068,0.967,0.928,2.50346223338354e-47
"Tmem51",4.9990289274042e-48,0.33833624618272,0.813,0.687,8.01494307930716e-44
"Lilr4b",2.17827840387316e-47,0.337320951889621,0.708,0.521,3.49243376492983e-43
"BC035044",3.51123312019691e-62,0.335684803454446,0.317,0.085,5.62956006161171e-58
"Mgst1",3.66137324149369e-47,0.333520266115512,0.968,0.926,5.87027971808683e-43
"Msrb1",1.56753275804172e-49,0.333279830544857,0.977,0.94,2.51322527096828e-45
"Ptpn22",8.75071070832403e-45,0.332448549283442,0.581,0.361,1.40300144786559e-40
"Elob",5.27399963152023e-54,0.331250686268275,0.968,0.922,8.45580360921639e-50
"Comt",1.87739623912387e-57,0.329969260651569,0.992,0.978,3.0100293901873e-53
"Orai1",7.46921787823964e-49,0.328801074534657,0.672,0.477,1.19753970241816e-44
"Ciao2a",6.67430703707746e-52,0.327402725547757,0.818,0.678,1.07009164725463e-47
"Laptm5",6.96053597178383e-89,0.327235031740064,1,0.999,1.1159827323561e-84
"Anxa1",9.23131095391775e-39,0.326995399585919,0.913,0.856,1.48005608524163e-34
"Ccnd3",7.78122479758478e-49,0.325706558119981,0.93,0.831,1.24756377179677e-44
"Rac2",6.4170068678336e-51,0.325584258545916,0.979,0.95,1.02883871111976e-46
"Clec4b1",3.7940212220669e-74,0.323515907126842,0.248,0.022,6.08295422533987e-70
"Sem1",2.29133976701381e-81,0.323332530794449,0.997,0.985,3.67370504845325e-77
"Etv6",4.56241738344559e-31,0.323303665501973,0.967,0.945,7.31492379087831e-27
"Taldo1",4.11973908780078e-47,0.323206628814041,0.971,0.912,6.60517767947099e-43
"Rab32",1.23681067669532e-50,0.322892563927961,0.925,0.852,1.9829785579456e-46
"Alcam",4.23951145748065e-22,0.322166087326507,0.949,0.904,6.79720871977872e-18
"Slc38a1",1.0195537180101e-41,0.321872015738063,0.771,0.62,1.63465047608559e-37
"Prkce",4.88584334556254e-25,0.320837873612737,0.886,0.84,7.83347263594043e-21
"H2afj",2.34796839602592e-42,0.319400530870596,0.932,0.868,3.76449772934836e-38
"Unc119",1.06013519050929e-43,0.318044265326061,0.886,0.784,1.69971475094355e-39
"Ptgs1",5.10217055437734e-54,0.317035136908554,0.993,0.98,8.18031004983319e-50
"Capg",1.24262196959603e-36,0.316263944387753,0.953,0.914,1.99229580385332e-32
"Trappc5",1.35333851747068e-42,0.315184947374588,0.812,0.677,2.16980764506073e-38
