"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Magoh",2.76942324341057e-56,0.377160071697307,0.531,0.336,4.44021628616016e-52,"Ly6C+ CM WT","Magoh"
"Pofut2",3.31271627385613e-56,0.393707014372966,0.403,0.219,5.31127800187354e-52,"Ly6C+ CM WT","Pofut2"
"Cacna1d",4.62002293655329e-56,1.55643177152365,0.456,0.299,7.40728277417589e-52,"Ly6C+ CM WT","Cacna1d"
"Ern11",5.37848441343645e-56,1.003688146995,0.597,0.424,8.62332406006266e-52,"Ly6C+ CM WT","Ern1"
"Sdc11",6.12167095085864e-56,0.416760459986445,0.115,0.022,9.81487503551165e-52,"Ly6C+ CM WT","Sdc1"
"Zfp821",7.20150678845809e-56,0.262050250987378,0.206,0.069,1.15461758339349e-51,"Ly6C+ CM WT","Zfp821"
"Zkscan6",7.74976620041049e-56,0.264366528129011,0.248,0.097,1.24252001491181e-51,"Ly6C+ CM WT","Zkscan6"
"Entpd7",1.20729714521333e-55,0.474564988665326,0.299,0.138,1.93565951292054e-51,"Ly6C+ CM WT","Entpd7"
"Magohb",1.20972986973197e-55,0.390124072575841,0.33,0.162,1.93955990014127e-51,"Ly6C+ CM WT","Magohb"
"Mllt6",1.2517002418875e-55,0.440862039316426,0.419,0.226,2.00685099781822e-51,"Ly6C+ CM WT","Mllt6"
"Rasa4",1.60470692367065e-55,0.362341920894952,0.492,0.266,2.57282661072115e-51,"Ly6C+ CM WT","Rasa4"
"Txn12",2.71450004628586e-55,0.551004374130513,0.864,0.638,4.35215792421011e-51,"Ly6C+ CM WT","Txn1"
"Aars",5.54875868468301e-55,0.43683258657501,0.434,0.242,8.89632479915227e-51,"Ly6C+ CM WT","Aars"
"Zfp263",8.14756835513175e-55,0.408873692587187,0.375,0.196,1.30629963437827e-50,"Ly6C+ CM WT","Zfp263"
"Aprt",9.36781874392464e-55,0.447737948132392,0.608,0.419,1.50194237921344e-50,"Ly6C+ CM WT","Aprt"
"Hsp90aa1",1.17050359487393e-54,0.740417145634139,0.892,0.831,1.87666841366138e-50,"Ly6C+ CM WT","Hsp90aa1"
"Prkrip1",1.44055477466504e-54,0.293546541550523,0.301,0.135,2.30964147022045e-50,"Ly6C+ CM WT","Prkrip1"
"Myd88",1.51925728511385e-54,0.470711630515376,0.484,0.296,2.43582520522303e-50,"Ly6C+ CM WT","Myd88"
"Tlcd21",3.00225957364562e-54,0.378249359225368,0.531,0.304,4.81352277442602e-50,"Ly6C+ CM WT","Tlcd2"
"Ero1lb",3.26714763778299e-54,0.464423832653711,0.387,0.207,5.23821780765747e-50,"Ly6C+ CM WT","Ero1lb"
"Hyou1",3.27215404845174e-54,0.378304942038593,0.363,0.184,5.24624458588268e-50,"Ly6C+ CM WT","Hyou1"
"Fam241a",5.14737239652388e-54,0.540989974606456,0.418,0.242,8.25278216334674e-50,"Ly6C+ CM WT","Fam241a"
"Igsf61",5.36105099773705e-54,0.596578178812459,0.626,0.463,8.59537306467181e-50,"Ly6C+ CM WT","Igsf6"
"Bnip3",6.87417753676594e-54,0.36750721690982,0.244,0.096,1.10213688446968e-49,"Ly6C+ CM WT","Bnip3"
"Cox7a23",8.6482069492625e-54,0.44382440502211,0.814,0.678,1.38656702017526e-49,"Ly6C+ CM WT","Cox7a2"
"Ube2i",3.81906694603896e-53,0.409853377909232,0.738,0.611,6.12311003458427e-49,"Ly6C+ CM WT","Ube2i"
"Ensa",4.33993746630722e-53,0.351134846354477,0.542,0.348,6.95822173973037e-49,"Ly6C+ CM WT","Ensa"
"Dnajb9",4.75710402151131e-53,0.506046535022909,0.628,0.457,7.62706487768908e-49,"Ly6C+ CM WT","Dnajb9"
"Zfp800",4.96643103977195e-53,0.459145691091537,0.488,0.301,7.96267888606637e-49,"Ly6C+ CM WT","Zfp800"
"Psma41",6.13756665508776e-53,0.428874056628969,0.682,0.516,9.84036061810221e-49,"Ly6C+ CM WT","Psma4"
"Csrp11",6.99036998529414e-53,0.321215472159013,0.456,0.24,1.12076601974221e-48,"Ly6C+ CM WT","Csrp1"
"Gtf2f1",1.15425506234224e-52,0.32892010998275,0.382,0.198,1.85061714145331e-48,"Ly6C+ CM WT","Gtf2f1"
"Fbxo28",1.17152433131071e-52,0.411324362402675,0.404,0.227,1.87830496039046e-48,"Ly6C+ CM WT","Fbxo28"
"Syvn1",1.72855185130214e-52,0.343770706827768,0.3,0.139,2.77138718319272e-48,"Ly6C+ CM WT","Syvn1"
