"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdia3",6.7147458562587e-15,0.336391899571822,1,0.852,1.07657520313396e-10,"SPM WT","Pdia3"
"App",6.76677946760426e-15,0.324093588269123,1,0.824,1.08491775204099e-10,"SPM WT","App"
"Atp5j",7.58594747326773e-15,0.324923041200129,0.973,0.663,1.21625495838902e-10,"SPM WT","Atp5j"
"Ndufa2",8.25793904476677e-15,0.305453229946101,0.962,0.718,1.32399536704746e-10,"SPM WT","Ndufa2"
"Pcbp2",1.0804763341772e-14,0.272625543906764,0.989,0.758,1.7323277065863e-10,"SPM WT","Pcbp2"
"Gpsm3",1.26596302271777e-14,0.254884264040087,0.903,0.549,2.0297185143234e-10,"SPM WT","Gpsm3"
"Rps24",1.29288296520226e-14,0.355979304743925,0.995,0.96,2.07287925810878e-10,"SPM WT","Rps24"
"Atrx",1.29399194218883e-14,0.254655252005763,0.957,0.583,2.07465728091136e-10,"SPM WT","Atrx"
"Rpl7a",1.91460006348388e-14,0.318559204199482,0.995,0.906,3.06967828178371e-10,"SPM WT","Rpl7a"
"Rps5",1.99947601609833e-14,0.35040174458606,0.995,0.925,3.20575989661045e-10,"SPM WT","Rps5"
"Ifitm2",4.46005850707776e-14,0.273232395619627,0.989,0.662,7.15081180439778e-10,"SPM WT","Ifitm2"
"Brk1",7.15733047717589e-14,0.272066973480667,0.957,0.722,1.14753479540561e-09,"SPM WT","Brk1"
"Rps19",8.17455748209301e-14,0.324507264054795,0.995,0.938,1.31062680110397e-09,"SPM WT","Rps19"
"Rpl6",8.47004336957853e-14,0.33461858438057,0.989,0.932,1.35800205344452e-09,"SPM WT","Rpl6"
"Rps7",8.61843608664373e-14,0.370064631433006,0.995,0.919,1.38179385777159e-09,"SPM WT","Rps7"
"Uqcrq",8.67984026636063e-14,0.288363925054782,0.973,0.682,1.3916387899056e-09,"SPM WT","Uqcrq"
"Srp14",8.90740827488345e-14,0.275721903158683,0.951,0.621,1.42812476871206e-09,"SPM WT","Srp14"
"Fam172a",9.76630199082747e-14,0.255270672064038,0.962,0.594,1.56583119818937e-09,"SPM WT","Fam172a"
"Chchd2",1.04442606162582e-13,0.253783975982008,0.989,0.861,1.67452830460468e-09,"SPM WT","Chchd2"
"Hnrnpf",1.34644302058674e-13,0.285535709827119,1,0.827,2.15875209490672e-09,"SPM WT","Hnrnpf"
"Tpm3",1.49083234656311e-13,0.2568938794604,1,0.891,2.39025150124464e-09,"SPM WT","Tpm3"
"Hsp90b1",1.59508259620947e-13,0.253773551494176,0.995,0.902,2.55739592650264e-09,"SPM WT","Hsp90b1"
"Chmp2a",2.34793356205548e-13,0.257775710092222,0.962,0.631,3.76444188004355e-09,"SPM WT","Chmp2a"
"Dnajc3",2.79713190709662e-13,0.265058297916565,0.935,0.605,4.48464158664801e-09,"SPM WT","Dnajc3"
"Serbp1",4.39678927436239e-13,0.297478678236758,0.995,0.73,7.04937224358521e-09,"SPM WT","Serbp1"
"Il6ra",4.67428251323088e-13,0.26259324656584,0.968,0.654,7.49427715346307e-09,"SPM WT","Il6ra"
"Tomm7",5.79222211561222e-13,0.303544436713624,0.978,0.675,9.28666971796107e-09,"SPM WT","Tomm7"
"Polr1d",6.75175085398924e-13,0.250267827394083,0.951,0.617,1.08250821442009e-08,"SPM WT","Polr1d"
"Cox7c",7.44027413657039e-13,0.298401997375396,0.978,0.81,1.19289915231633e-08,"SPM WT","Cox7c"
"Rpl32",9.37570651434041e-13,0.33596922638491,1,0.936,1.5032070254442e-08,"SPM WT","Rpl32"
"Rpl36",1.05287404225561e-12,0.34729993253669,0.989,0.931,1.68807295194841e-08,"SPM WT","Rpl36"
"Eef1b2",1.05990689494999e-12,0.32025311301787,0.984,0.856,1.69934872467332e-08,"SPM WT","Eef1b2"
"Rbx1",1.51646642837865e-12,0.253389885568989,0.978,0.674,2.43135062461948e-08,"SPM WT","Rbx1"
"Rps11",1.88765214616764e-12,0.280270977599686,0.989,0.936,3.02647268595057e-08,"SPM WT","Rps11"
"Rpl3",3.54106574164982e-12,0.297435438114032,0.989,0.915,5.67739070358715e-08,"SPM WT","Rpl3"
"Pdia6",5.20921846708587e-12,0.251123253340294,0.984,0.738,8.35193996827878e-08,"SPM WT","Pdia6"
"Naca",5.35825004944461e-12,0.277927653428676,0.995,0.878,8.59088230427455e-08,"SPM WT","Naca"
"Ndufa7",8.86957715021121e-12,0.283350195606091,0.962,0.646,1.42205930449336e-07,"SPM WT","Ndufa7"
"Rpl8",1.42146990955015e-11,0.294800248917393,1,0.941,2.27904270598176e-07,"SPM WT","Rpl8"
"Ppib",3.37202650833127e-11,0.278725340633914,0.968,0.748,5.40637010080752e-07,"SPM WT","Ppib"
"Canx",3.40173682903174e-11,0.256855632441611,0.989,0.807,5.45400465798658e-07,"SPM WT","Canx"
"Rpl13",1.12067668350035e-10,0.287677770958724,0.995,0.961,1.79678092665611e-06,"SPM WT","Rpl13"
"Rps21",1.26507721871688e-10,0.27240453492539,1,0.954,2.02829830476877e-06,"SPM WT","Rps21"
"Calr",1.44966869608917e-10,0.270146928080831,0.995,0.88,2.32425382043977e-06,"SPM WT","Calr"
"Rpl24",2.39195253412616e-10,0.266301808639156,0.995,0.929,3.83501749796448e-06,"SPM WT","Rpl24"
"Ltc4s",2.60181299466872e-10,0.43781315478126,0.843,0.554,4.17148677435236e-06,"SPM WT","Ltc4s"
"Rpl30",2.80551127346639e-10,0.288037619196487,0.984,0.938,4.49807622474866e-06,"SPM WT","Rpl30"
"Exoc4",3.15254478922389e-10,0.255225791476251,0.973,0.655,5.05447506056266e-06,"SPM WT","Exoc4"
"Man2b1",9.49092557610131e-10,0.267061417929167,0.989,0.691,1.52168009761632e-05,"SPM WT","Man2b1"
"Timp2",1.00184037601777e-09,0.251844865746719,0.995,0.685,1.60625067486928e-05,"SPM WT","Timp2"
"Rps16",1.47330280665714e-09,0.264271233526196,1,0.95,2.3621463899134e-05,"SPM WT","Rps16"
"Rreb1",1.65553154597247e-09,0.2530457669415,0.968,0.646,2.65431372765766e-05,"SPM WT","Rreb1"
"Rpl23",3.26644255448493e-09,0.258981814891118,1,0.954,5.23708734760569e-05,"SPM WT","Rpl23"
"Rpl34",5.09944773813354e-09,0.27039753838105,0.989,0.935,8.17594455854951e-05,"SPM WT","Rpl34"
"Fcna",3.33843581472626e-06,0.590085932093419,0.514,0.326,0.0535251414175062,"SPM WT","Fcna"
"Kcnip4",3.39506547837935e-05,0.41750285398557,0.162,0.078,0.544330848148562,"SPM WT","Kcnip4"
"Prg4",0,5.20233117229281,0.998,0.049,0,"LPM WT","Prg4"
"Fn11",0,5.08547317761949,0.999,0.155,0,"LPM WT","Fn1"
"Alox15",0,4.66736890593156,0.997,0.039,0,"LPM WT","Alox15"
"Saa3",0,4.52048181455844,0.926,0.078,0,"LPM WT","Saa3"
"Ltbp1",0,4.42009838840956,0.992,0.02,0,"LPM WT","Ltbp1"
"Ednrb",0,3.70699757871362,0.994,0.055,0,"LPM WT","Ednrb"
"C4b",0,3.64735156731478,0.994,0.196,0,"LPM WT","C4b"
"Tgfb2",0,3.57686246881315,0.982,0.016,0,"LPM WT","Tgfb2"
"Lyz21",0,3.52269793951733,1,0.76,0,"LPM WT","Lyz2"
"Flnb",0,3.17909297036692,0.995,0.22,0,"LPM WT","Flnb"
"Itga6",0,3.03263284994991,0.996,0.261,0,"LPM WT","Itga6"
"Serpinb2",0,3.02257252551938,0.987,0.037,0,"LPM WT","Serpinb2"
"Fabp4",0,2.97357511230841,0.947,0.024,0,"LPM WT","Fabp4"
"F5",0,2.9509131182339,0.988,0.066,0,"LPM WT","F5"
"Grk51",0,2.90417008084924,0.977,0.157,0,"LPM WT","Grk5"
"Ecm11",0,2.833626036114,0.992,0.183,0,"LPM WT","Ecm1"
"Icam2",0,2.77776127928666,0.981,0.043,0,"LPM WT","Icam2"
"Pf4",0,2.76624257276889,0.95,0.175,0,"LPM WT","Pf4"
"Gda1",0,2.76263931322041,0.996,0.244,0,"LPM WT","Gda"
"Add31",0,2.74700086327939,0.996,0.194,0,"LPM WT","Add3"
"Padi4",0,2.68473939046367,0.956,0.018,0,"LPM WT","Padi4"
"Rad51b",0,2.66514998811868,0.962,0.147,0,"LPM WT","Rad51b"
"Selp",0,2.65742404744152,0.987,0.024,0,"LPM WT","Selp"
"Fgfr11",0,2.62047691499219,0.986,0.084,0,"LPM WT","Fgfr1"
"Evi5",0,2.5535986620539,0.988,0.284,0,"LPM WT","Evi5"
"Ptgis",0,2.5332964376477,0.917,0.038,0,"LPM WT","Ptgis"
"Garnl3",0,2.50847917994381,0.914,0.159,0,"LPM WT","Garnl3"
"Tent5a1",0,2.49019933897664,0.995,0.451,0,"LPM WT","Tent5a"
"Ssh2",0,2.48572157662499,0.999,0.622,0,"LPM WT","Ssh2"
"Emilin21",0,2.40984262137611,0.997,0.418,0,"LPM WT","Emilin2"
"Cgnl11",0,2.39274250678301,0.98,0.033,0,"LPM WT","Cgnl1"
"Erc2",0,2.31570865882841,0.369,0.006,0,"LPM WT","Erc2"
"Cfp1",0,2.28185831607615,0.995,0.375,0,"LPM WT","Cfp"
"Sptbn11",0,2.25809454808775,0.984,0.153,0,"LPM WT","Sptbn1"
"Vmn2r26",0,2.25046878048873,0.906,0.006,0,"LPM WT","Vmn2r26"
"Acaca",0,2.24340848187965,0.973,0.148,0,"LPM WT","Acaca"
"Lrg1",0,2.24096743812704,0.931,0.019,0,"LPM WT","Lrg1"
"Timd4",0,2.20938188361482,0.981,0.181,0,"LPM WT","Timd4"
"Plcb11",0,2.15862562756324,0.959,0.182,0,"LPM WT","Plcb1"
"Wfdc171",0,2.13192316250887,0.996,0.498,0,"LPM WT","Wfdc17"
"Ahnak1",0,2.08069063061402,0.996,0.253,0,"LPM WT","Ahnak"
"Tmcc11",0,2.07693098612439,0.99,0.478,0,"LPM WT","Tmcc1"
"Itgb21",0,2.02162329357578,0.996,0.498,0,"LPM WT","Itgb2"
"Ank1",0,1.9740156563482,0.977,0.15,0,"LPM WT","Ank"
"Pygl1",0,1.94664534660649,0.982,0.161,0,"LPM WT","Pygl"
"Timp21",0,1.93845561965693,0.996,0.613,0,"LPM WT","Timp2"
"Adipor2",0,1.91831057031855,0.98,0.314,0,"LPM WT","Adipor2"
"Pard3b",0,1.91344372817841,0.958,0.234,0,"LPM WT","Pard3b"
"Prtn3",0,1.89856552501258,0.886,0.053,0,"LPM WT","Prtn3"
"Cryl1",0,1.8830304601378,0.973,0.245,0,"LPM WT","Cryl1"
"Fry1",0,1.86082995512015,0.96,0.196,0,"LPM WT","Fry"
"Ltc4s1",0,1.82630255194319,0.987,0.449,0,"LPM WT","Ltc4s"
"Kcnip41",0,1.81320387161441,0.351,0.008,0,"LPM WT","Kcnip4"
"Apoe",0,1.80455629842591,0.999,0.709,0,"LPM WT","Apoe"
"Nav11",0,1.79949079523457,0.978,0.288,0,"LPM WT","Nav1"
"Mcemp1",0,1.76515367145774,0.962,0.176,0,"LPM WT","Mcemp1"
"Msr1",0,1.7651101587465,0.992,0.306,0,"LPM WT","Msr1"
"Hipk2",0,1.75833887561183,0.974,0.417,0,"LPM WT","Hipk2"
"Serpinb1a",0,1.74888279486056,0.898,0.026,0,"LPM WT","Serpinb1a"
"Smpdl3a1",0,1.74834724977827,0.989,0.309,0,"LPM WT","Smpdl3a"
"Acly1",0,1.74548762952766,0.987,0.334,0,"LPM WT","Acly"
"Cfh",0,1.73640489763345,0.99,0.522,0,"LPM WT","Cfh"
"Itsn1",0,1.73496299431691,0.98,0.251,0,"LPM WT","Itsn1"
"Trf",0,1.69908000978949,0.993,0.72,0,"LPM WT","Trf"
"Arhgap151",0,1.68673769053269,0.987,0.419,0,"LPM WT","Arhgap15"
"Gbe1",0,1.66794117404223,0.952,0.183,0,"LPM WT","Gbe1"
"Itgam1",0,1.65864221532724,0.996,0.592,0,"LPM WT","Itgam"
"Cacnb4",0,1.65194489141024,0.7,0.047,0,"LPM WT","Cacnb4"
"Gata6",0,1.64242330856564,0.905,0.009,0,"LPM WT","Gata6"
"Cybb",0,1.63935029317174,0.995,0.531,0,"LPM WT","Cybb"
"Rap1gap21",0,1.63314333956952,0.921,0.174,0,"LPM WT","Rap1gap2"
"Cmah",0,1.62848971399943,0.875,0.048,0,"LPM WT","Cmah"
"Tagln21",0,1.61187559740236,0.993,0.634,0,"LPM WT","Tagln2"
"Adgre1",0,1.60849901349188,0.995,0.66,0,"LPM WT","Adgre1"
"Itgb1",0,1.59513922383149,0.994,0.685,0,"LPM WT","Itgb1"
"Arhgef3",0,1.59482328827718,0.98,0.361,0,"LPM WT","Arhgef3"
"Peak1",0,1.58892104433098,0.977,0.364,0,"LPM WT","Peak1"
"Nedd91",0,1.58242405654701,0.958,0.221,0,"LPM WT","Nedd9"
"Mcu",0,1.5787679049311,0.9,0.137,0,"LPM WT","Mcu"
"Aldh2",0,1.56731082438042,0.989,0.382,0,"LPM WT","Aldh2"
"Ccl241",0,1.56152471018823,0.958,0.205,0,"LPM WT","Ccl24"
"Lpl1",0,1.55827356984452,0.975,0.247,0,"LPM WT","Lpl"
"Mgst1",0,1.54818717946678,0.926,0.11,0,"LPM WT","Mgst1"
"Hacd41",0,1.53628029154546,0.975,0.252,0,"LPM WT","Hacd4"
"Wnt2",0,1.53048563551737,0.522,0.005,0,"LPM WT","Wnt2"
"Ms4a8a1",0,1.52123882248818,0.959,0.161,0,"LPM WT","Ms4a8a"
"Fxyd51",0,1.50409256465135,0.995,0.541,0,"LPM WT","Fxyd5"
"Fam20a1",0,1.48097707912322,0.873,0.024,0,"LPM WT","Fam20a"
"Efnb2",0,1.46008010718591,0.861,0.043,0,"LPM WT","Efnb2"
"Plxdc2",0,1.44442728905833,0.997,0.612,0,"LPM WT","Plxdc2"
"Rp1",0,1.42617601792377,0.788,0.009,0,"LPM WT","Rp1"
"Rab27a",0,1.41676789062866,0.933,0.149,0,"LPM WT","Rab27a"
"Pdlim11",0,1.39105987185277,0.915,0.09,0,"LPM WT","Pdlim1"
"Rpl51",0,1.37482314959753,0.995,0.85,0,"LPM WT","Rpl5"
"Pycard1",0,1.36793240059005,0.959,0.547,0,"LPM WT","Pycard"
"Tcn2",0,1.36495626731682,0.987,0.514,0,"LPM WT","Tcn2"
"Rps81",0,1.36329732601987,0.999,0.951,0,"LPM WT","Rps8"
"Alox5ap1",0,1.36311512524338,0.993,0.709,0,"LPM WT","Alox5ap"
"Alox5",0,1.36085546188371,0.915,0.087,0,"LPM WT","Alox5"
"Usp31",0,1.35869764519572,0.967,0.366,0,"LPM WT","Usp3"
"Cd361",0,1.35738539612044,0.929,0.136,0,"LPM WT","Cd36"
"Fgd41",0,1.34758432409743,0.947,0.311,0,"LPM WT","Fgd4"
"Rps191",0,1.33360743314922,0.999,0.924,0,"LPM WT","Rps19"
"Thbs1",0,1.32941908913541,0.982,0.237,0,"LPM WT","Thbs1"
"St8sia61",0,1.32623617914421,0.877,0.069,0,"LPM WT","St8sia6"
"Comt1",0,1.32415196020088,0.978,0.477,0,"LPM WT","Comt"
"Dhrs31",0,1.31580068868338,0.989,0.465,0,"LPM WT","Dhrs3"
"Crip11",0,1.30440517702469,0.996,0.533,0,"LPM WT","Crip1"
"Calml4",0,1.29975127516565,0.847,0.028,0,"LPM WT","Calml4"
"Ripor21",0,1.28391036467257,0.835,0.073,0,"LPM WT","Ripor2"
"AI4676061",0,1.28266980413499,0.904,0.074,0,"LPM WT","AI467606"
"Cald1",0,1.28184882899764,0.767,0.023,0,"LPM WT","Cald1"
"Pid11",0,1.27984079329953,0.988,0.578,0,"LPM WT","Pid1"
"F101",0,1.27682526787842,0.961,0.197,0,"LPM WT","F10"
"Rarb1",0,1.27544348728441,0.746,0.028,0,"LPM WT","Rarb"
"Eml6",0,1.26786423221382,0.841,0.191,0,"LPM WT","Eml6"
"Emp31",0,1.24977416542388,0.982,0.519,0,"LPM WT","Emp3"
"Man2a1",0,1.24268861723239,0.97,0.417,0,"LPM WT","Man2a1"
"Edil3",0,1.24103252038855,0.666,0.035,0,"LPM WT","Edil3"
"Ryr2",0,1.24101116469561,0.521,0.005,0,"LPM WT","Ryr2"
"Arhgap12",0,1.23622690029605,0.933,0.299,0,"LPM WT","Arhgap12"
"Fam78b1",0,1.22496202657632,0.794,0.038,0,"LPM WT","Fam78b"
"Adgb",0,1.22291427235298,0.856,0.136,0,"LPM WT","Adgb"
"Cast1",0,1.22099440336436,0.943,0.315,0,"LPM WT","Cast"
"Clec4d",0,1.21605188274224,0.926,0.189,0,"LPM WT","Clec4d"
"Lamtor41",0,1.205189405409,0.966,0.492,0,"LPM WT","Lamtor4"
"Colec12",0,1.20244167577799,0.69,0.039,0,"LPM WT","Colec12"
"Engase",0,1.19298992010645,0.872,0.128,0,"LPM WT","Engase"
"Nt5e",0,1.19294329648092,0.718,0.008,0,"LPM WT","Nt5e"
"Rai14",0,1.1913321179668,0.803,0.081,0,"LPM WT","Rai14"
"Dbi1",0,1.18365299776422,0.966,0.429,0,"LPM WT","Dbi"
"Dock5",0,1.18072660929341,0.832,0.112,0,"LPM WT","Dock5"
"Emilin1",0,1.17197654265267,0.829,0.034,0,"LPM WT","Emilin1"
"Sh3bgrl1",0,1.17194222820326,0.986,0.42,0,"LPM WT","Sh3bgrl"
"Rps281",0,1.17106912843319,0.996,0.932,0,"LPM WT","Rps28"
"Cd24a1",0,1.17036930762832,0.737,0.042,0,"LPM WT","Cd24a"
"Man2b11",0,1.16949029014191,0.988,0.622,0,"LPM WT","Man2b1"
"Tln11",0,1.16766495783042,0.989,0.671,0,"LPM WT","Tln1"
"Rpl36a1",0,1.16135105158598,0.992,0.835,0,"LPM WT","Rpl36a"
"Pbx31",0,1.15718402141356,0.849,0.196,0,"LPM WT","Pbx3"
"Rpl121",0,1.15562082748969,0.99,0.88,0,"LPM WT","Rpl12"
"Rpn2",0,1.14864798865673,0.98,0.486,0,"LPM WT","Rpn2"
"Fcor",0,1.14703259005078,0.747,0.028,0,"LPM WT","Fcor"
"Irf21",0,1.14263863806315,0.986,0.627,0,"LPM WT","Irf2"
"Rps151",0,1.13821536381305,0.998,0.912,0,"LPM WT","Rps15"
"Ppp3ca",0,1.13755678327749,0.993,0.674,0,"LPM WT","Ppp3ca"
"Cd93",0,1.12523006396066,0.874,0.128,0,"LPM WT","Cd93"
"Mob3b1",0,1.11973889595728,0.818,0.134,0,"LPM WT","Mob3b"
"Grk61",0,1.11455728080086,0.884,0.155,0,"LPM WT","Grk6"
"Cers6",0,1.11343728721493,0.989,0.507,0,"LPM WT","Cers6"
"Loxl2",0,1.11140369322408,0.738,0.014,0,"LPM WT","Loxl2"
"Hdac91",0,1.10589063056505,0.973,0.426,0,"LPM WT","Hdac9"
"Vps13c1",0,1.09946656051679,0.898,0.215,0,"LPM WT","Vps13c"
"S100a41",0,1.0957368502306,0.797,0.208,0,"LPM WT","S100a4"
"Pglyrp1",0,1.08966404344948,0.626,0.041,0,"LPM WT","Pglyrp1"
"Ppib1",0,1.08575615764262,0.973,0.696,0,"LPM WT","Ppib"
"Ndufa41",0,1.07738024898148,0.979,0.599,0,"LPM WT","Ndufa4"
"Rps61",0,1.069917932432,0.995,0.876,0,"LPM WT","Rps6"
"Tiam2",0,1.06934605691442,0.728,0.017,0,"LPM WT","Tiam2"
"Atp1a31",0,1.06813989449735,0.841,0.086,0,"LPM WT","Atp1a3"
"Plekhg11",0,1.06794555931631,0.721,0.045,0,"LPM WT","Plekhg1"
"Rps101",0,1.06670202699208,0.994,0.87,0,"LPM WT","Rps10"
"Fut81",0,1.06631913342752,0.853,0.202,0,"LPM WT","Fut8"
"Dock21",0,1.06555886825903,0.989,0.741,0,"LPM WT","Dock2"
"Arhgef12",0,1.06201937034594,0.933,0.273,0,"LPM WT","Arhgef12"
"Tpt11",0,1.06078248362419,0.999,0.965,0,"LPM WT","Tpt1"
"Pdcd41",0,1.06031320813889,0.889,0.216,0,"LPM WT","Pdcd4"
"Herc41",0,1.04500373578294,0.962,0.453,0,"LPM WT","Herc4"
"Rack11",0,1.04498793472428,0.998,0.898,0,"LPM WT","Rack1"
"Rps171",0,1.04495753179997,0.987,0.837,0,"LPM WT","Rps17"
"Ndufa12",0,1.04425662852427,0.95,0.427,0,"LPM WT","Ndufa1"
"Alcam1",0,1.04366658916889,0.904,0.221,0,"LPM WT","Alcam"
"Itga41",0,1.04362539448907,0.953,0.333,0,"LPM WT","Itga4"
"Cadps2",0,1.04266305563039,0.607,0.006,0,"LPM WT","Cadps2"
"Aqp91",0,1.04223353227221,0.737,0.042,0,"LPM WT","Aqp9"
"Gpx11",0,1.04182522214818,0.999,0.772,0,"LPM WT","Gpx1"
"Prickle1",0,1.03849261186224,0.575,0.045,0,"LPM WT","Prickle1"
"Klf131",0,1.03585789304577,0.969,0.466,0,"LPM WT","Klf13"
"Rpsa1",0,1.03494933224176,0.999,0.93,0,"LPM WT","Rpsa"
"Cotl11",0,1.03096267128899,0.992,0.783,0,"LPM WT","Cotl1"
"Rps271",0,1.03024354678505,0.995,0.929,0,"LPM WT","Rps27"
"Ifitm61",0,1.02935587497353,0.922,0.182,0,"LPM WT","Ifitm6"
"Pbx1",0,1.02286029435932,0.848,0.243,0,"LPM WT","Pbx1"
"Sept111",0,1.02170369500809,0.947,0.281,0,"LPM WT","Sept11"
"Ssr4",0,1.02061291784752,0.966,0.676,0,"LPM WT","Ssr4"
"Ccdc50",0,1.02038408042608,0.985,0.596,0,"LPM WT","Ccdc50"
"Rps121",0,1.01194124418469,0.999,0.949,0,"LPM WT","Rps12"
"Mtm11",0,1.0114822458898,0.86,0.193,0,"LPM WT","Mtm1"
"S100a12",0,1.00837131607732,0.875,0.194,0,"LPM WT","S100a1"
"Eno11",0,1.00741135007192,0.954,0.44,0,"LPM WT","Eno1"
"Stk241",0,1.00692518346083,0.932,0.319,0,"LPM WT","Stk24"
"Rps3a11",0,1.00596751550443,0.998,0.937,0,"LPM WT","Rps3a1"
"Cmklr1",0,1.0053404127622,0.929,0.307,0,"LPM WT","Cmklr1"
"Txn1",0,1.00356725063017,0.987,0.605,0,"LPM WT","Txn1"
"Epb41l11",0,1.00281423013106,0.8,0.102,0,"LPM WT","Epb41l1"
"Laptm5",0,1.00121456487216,0.999,0.952,0,"LPM WT","Laptm5"
"Rpl101",0,0.995929193545808,0.991,0.926,0,"LPM WT","Rpl10"
"Plod3",0,0.993899375158399,0.903,0.253,0,"LPM WT","Plod3"
"mt-Nd3",0,0.993424571877102,0.987,0.638,0,"LPM WT","mt-Nd3"
"Rpl37a1",0,0.992614308127836,1,0.956,0,"LPM WT","Rpl37a"
"Lrrk2",0,0.988063519807775,0.713,0.037,0,"LPM WT","Lrrk2"
"Rgs181",0,0.986064293431884,0.772,0.042,0,"LPM WT","Rgs18"
"Mrpl331",0,0.984356061897294,0.964,0.432,0,"LPM WT","Mrpl33"
"Pam1",0,0.982899581094377,0.683,0.057,0,"LPM WT","Pam"
"Nucb1",0,0.981463303758244,0.942,0.371,0,"LPM WT","Nucb1"
"Atp5o",0,0.97861453914746,0.693,0.076,0,"LPM WT","Atp5o"
"Aplp21",0,0.974326660158746,0.968,0.413,0,"LPM WT","Aplp2"
"Adk",0,0.973465332280766,0.794,0.129,0,"LPM WT","Adk"
"Idh11",0,0.972746709027991,0.922,0.212,0,"LPM WT","Idh1"
"Slc7a2",0,0.971642356637913,0.699,0.047,0,"LPM WT","Slc7a2"
"Adam151",0,0.967263728223846,0.935,0.308,0,"LPM WT","Adam15"
"mt-Nd2",0,0.966201908908513,0.994,0.89,0,"LPM WT","mt-Nd2"
"Rpl351",0,0.965744001403512,0.989,0.868,0,"LPM WT","Rpl35"
"Cpne8",0,0.961270556595573,0.708,0.043,0,"LPM WT","Cpne8"
"Nhsl21",0,0.960672109962507,0.794,0.076,0,"LPM WT","Nhsl2"
"Fam20c",0,0.960605230599694,0.779,0.09,0,"LPM WT","Fam20c"
"Rps251",0,0.960161382058164,0.992,0.9,0,"LPM WT","Rps25"
"Hip11",0,0.958506231192397,0.879,0.247,0,"LPM WT","Hip1"
"Mfsd51",0,0.958099056250308,0.877,0.186,0,"LPM WT","Mfsd5"
"Pros1",0,0.956876093915949,0.972,0.389,0,"LPM WT","Pros1"
"Arhgdib1",0,0.956082889691329,0.992,0.731,0,"LPM WT","Arhgdib"
"Ccdc12",0,0.952651784053934,0.969,0.56,0,"LPM WT","Ccdc12"
"Vps13b1",0,0.95109188572277,0.951,0.423,0,"LPM WT","Vps13b"
"Cask",0,0.949589078848358,0.898,0.354,0,"LPM WT","Cask"
"Hcst",0,0.941957806709121,0.873,0.249,0,"LPM WT","Hcst"
"Xdh1",0,0.940480745587048,0.941,0.284,0,"LPM WT","Xdh"
"Atp11c",0,0.938852671181356,0.9,0.309,0,"LPM WT","Atp11c"
"Mlxipl",0,0.937228997799656,0.861,0.14,0,"LPM WT","Mlxipl"
"St3gal5",0,0.935655272407941,0.982,0.425,0,"LPM WT","St3gal5"
"Rpl23a1",0,0.934996728986487,0.993,0.872,0,"LPM WT","Rpl23a"
"Rpl231",0,0.927707455222663,0.996,0.944,0,"LPM WT","Rpl23"
"Rps181",0,0.925690325342336,0.993,0.898,0,"LPM WT","Rps18"
"Ppm1e",0,0.919835243897971,0.594,0.049,0,"LPM WT","Ppm1e"
"Zfp395",0,0.918018063776665,0.816,0.114,0,"LPM WT","Zfp395"
"Rpl42",0,0.917844857506449,0.987,0.789,0,"LPM WT","Rpl4"
"Ofcc1",0,0.914837179910331,0.363,0.002,0,"LPM WT","Ofcc1"
"Tiam11",0,0.914514560442045,0.85,0.184,0,"LPM WT","Tiam1"
"Pstpip2",0,0.911066137229604,0.833,0.257,0,"LPM WT","Pstpip2"
"Ddost",0,0.911015590161828,0.92,0.394,0,"LPM WT","Ddost"
"Ralgapa2",0,0.907042291159105,0.803,0.192,0,"LPM WT","Ralgapa2"
"Tspan51",0,0.904791621281598,0.744,0.108,0,"LPM WT","Tspan5"
"Cyp2ab1",0,0.904164347589727,0.659,0.024,0,"LPM WT","Cyp2ab1"
"Khk",0,0.902702089034956,0.849,0.222,0,"LPM WT","Khk"
"Dhrs71",0,0.901548723971284,0.87,0.217,0,"LPM WT","Dhrs7"
"Fam111a1",0,0.900329215364921,0.933,0.308,0,"LPM WT","Fam111a"
"Tln2",0,0.899172354802199,0.737,0.111,0,"LPM WT","Tln2"
"Bsg",0,0.898082723151644,0.988,0.671,0,"LPM WT","Bsg"
"Rpl381",0,0.897411679029354,0.998,0.935,0,"LPM WT","Rpl38"
"Krt801",0,0.89299509751445,0.824,0.102,0,"LPM WT","Krt80"
"Rpl71",0,0.890534133029911,0.998,0.902,0,"LPM WT","Rpl7"
"Bst1",0,0.888196770522097,0.767,0.112,0,"LPM WT","Bst1"
"Itch1",0,0.883116957494398,0.964,0.449,0,"LPM WT","Itch"
"Rps291",0,0.881561537040866,0.999,0.964,0,"LPM WT","Rps29"
"Rbpms",0,0.8793194777217,0.917,0.327,0,"LPM WT","Rbpms"
"Rras21",0,0.866927522037876,0.786,0.141,0,"LPM WT","Rras2"
"Gm1673",0,0.863867662006081,0.653,0.031,0,"LPM WT","Gm1673"
"mt-Atp6",0,0.861661247082831,0.998,0.97,0,"LPM WT","mt-Atp6"
"Spata61",0,0.861186614466877,0.802,0.166,0,"LPM WT","Spata6"
"Klf9",0,0.857473759326495,0.764,0.119,0,"LPM WT","Klf9"
"Nin1",0,0.855940273049103,0.83,0.201,0,"LPM WT","Nin"
"S100a101",0,0.854481770781419,0.965,0.343,0,"LPM WT","S100a10"
"Atrnl11",0,0.853368361623679,0.855,0.287,0,"LPM WT","Atrnl1"
