"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vps54",0.0795303756297585,0.130973045398993,0.771,0.757,1
"Layn",0.0795306618011957,-0.0119048609459965,0.052,0.108,1
"Ccdc90b",0.0795445858347942,-0.0680598618616809,0.222,0.303,1
"Rrp12",0.0795720886383882,-0.0906004122524447,0.17,0.232,1
"Mob1a",0.0797080641859445,0.102046357524526,0.987,0.984,1
"Wtip",0.0797251539456914,0.0728042636649499,0.137,0.081,1
"Txndc12",0.0799934029548012,-0.033280263309735,0.327,0.427,1
"Mrpl34",0.0800019983912275,0.115498144507367,0.732,0.708,1
"Hnrnpf",0.0800936174231636,0.0990312061116585,1,1,1
"Dusp1",0.0801681832669283,0.0488963316126177,0.516,0.643,1
"Pkib",0.0802235766767181,-0.103077986953047,0.497,0.595,1
"Snrnp70",0.0803263100953376,0.101946941532405,0.908,0.892,1
"Pram1",0.0803442644763689,-0.013803034136663,0.098,0.168,1
"Usp47",0.0804367768492575,0.134126537134775,0.863,0.876,1
"Slc22a5",0.0804839902142111,-0.0207043498255706,0.137,0.216,1
"Frat1",0.0804876118498089,-0.0199871510953192,0.059,0.114,1
"Znrd1as",0.0805390032291975,0.0400632451320845,0.111,0.059,1
"Zkscan17",0.0806692994966315,-0.0131731235371685,0.098,0.168,1
"mt-Nd3",0.0806736310947507,-0.109899646687485,0.98,0.989,1
"Srpr",0.0806958836964022,-0.102050173382426,0.732,0.789,1
"Klhl22",0.080757858261165,-0.0851293404784147,0.196,0.276,1
"Tmem120a",0.0808635415450274,-0.0310822791789684,0.288,0.389,1
"Fahd1",0.080881037555689,-0.0349500362529685,0.059,0.114,1
"Pxk",0.0809252581731798,0.0982521212674509,0.706,0.611,1
"Rspry1",0.0809907258112163,-0.0743042530476148,0.654,0.778,1
"Ago1",0.0813068157448391,-0.0487171423923084,0.307,0.405,1
"Prdx3",0.0814765636079573,-0.0701670569938772,0.575,0.665,1
"Med14",0.0815014095559952,-0.137811637519101,0.523,0.611,1
"Lrrc40",0.0815392296836049,-0.0273460450828854,0.19,0.281,1
"Tardbp",0.0815879898033794,0.198748229996988,0.797,0.832,1
"Ptdss2",0.0816461774937404,0.0322559528051711,0.222,0.146,1
"Elf4",0.0816608534243658,0.151224297993302,0.856,0.924,1
"Vmn2r26",0.081734230541052,0.246995425932738,0.209,0.141,1
"Ttc39c",0.0818535284665224,-0.0295289736115985,0.183,0.27,1
"Auh",0.0818546803534442,0.127170689869574,0.66,0.616,1
"Pdrg1",0.0818764694017843,-0.0763012673509157,0.392,0.492,1
"Cklf",0.0819352327871482,0.145803812517435,0.693,0.659,1
"Trim62",0.0819740984948097,0.0369598091143423,0.144,0.081,1
