"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tlr8",0.152617105178499,0.0942257061608344,0.121,0.089,1
"Ube2d3",0.152782672534318,-0.147110725253293,0.858,0.896,1
"Mtmr3",0.152840901715079,-0.190974907964043,0.472,0.526,1
"Sucla2",0.152981940431691,-0.0412047376392397,0.156,0.198,1
"Tank",0.153050282214418,-0.296723636953994,0.903,0.917,1
"Trmt6",0.153056179852403,-0.0137502016438689,0.117,0.156,1
"Spag7",0.153110671182313,-0.0249946472833264,0.259,0.323,1
"B3galnt1",0.153117916574366,-0.0428036318008494,0.083,0.115,1
"Commd8",0.153334536664148,-0.0119854614213156,0.37,0.453,1
"Bccip",0.15335642017026,-0.00288291785149669,0.217,0.276,1
"Chpt1",0.153359769772506,-0.0387626518339223,0.15,0.198,1
"Ipmk",0.153441114725796,-0.114268405687599,0.232,0.281,1
"Spsb2",0.153637573745859,-0.00869120349570696,0.098,0.135,1
"Hivep3",0.153851195162647,0.249343157960596,0.578,0.583,1
"Bex3",0.15392137541291,-0.0880228084213823,0.5,0.557,1
"Mrpl28",0.153923285507693,-0.0251153121394714,0.182,0.234,1
"Klra2",0.154108287780896,0.169683638119739,0.585,0.526,1
"Med9",0.154452826551886,-0.0182963691338787,0.086,0.12,1
"Snx9",0.154729886362586,-0.201999272193329,0.578,0.615,1
"Ap3b1",0.154750569588339,0.208966355858898,0.565,0.547,1
"Phf12",0.154862168313121,-0.0148992730846273,0.149,0.193,1
"Zfp91",0.155325437312279,-0.115750193999372,0.536,0.594,1
"Hook2",0.155377167663873,-0.0766649296668304,0.114,0.151,1
"Nfyc",0.155434174840354,0.00350127749996021,0.226,0.286,1
"Pepd",0.155516172083254,-0.0458732881100425,0.611,0.656,1
"Ddx46",0.155562520163465,-0.0499642932333928,0.272,0.339,1
"Kdm2b",0.155610371342358,-0.00341917701437122,0.2,0.25,1
"Lipa",0.155645613591374,0.121925921065894,0.551,0.552,1
"Ttc28",0.155801919822058,-0.157576967170339,0.294,0.349,1
"Blvra",0.155962268408073,-0.0337718078575852,0.176,0.224,1
"Copb1",0.156276042396033,-0.0510867518604927,0.423,0.49,1
"BC005561",0.156285882590504,-0.100207597109527,0.194,0.24,1
"Tanc2",0.156304590162654,-0.18429934085826,0.77,0.823,1
"Pnpla8",0.15641010468697,-0.183674563464414,0.445,0.5,1
"Mtln",0.156536839805665,-0.003935468946347,0.33,0.396,1
"Herc6",0.156712115903041,-0.0678483693772942,0.244,0.297,1
"Bcl2l13",0.156739963830925,-0.0408010405837922,0.119,0.156,1
"Atg5",0.156755099872576,0.0484970390070674,0.294,0.245,1
"Cstf3",0.15681279648717,-0.208845964233543,0.224,0.26,1
"Trnt1",0.156831946669124,-0.0287552182044049,0.169,0.214,1
"Tsta3",0.157018425252906,0.00671726601312703,0.1,0.135,1
"Gab1",0.157045028218897,-0.153604549455277,0.246,0.302,1
"Etnk1",0.157144572826369,-0.10396634993275,0.267,0.323,1
"Parp2",0.157292692729828,-0.00541647364171055,0.212,0.266,1
"Runx2",0.157552571107169,0.128992905345651,0.15,0.115,1
"Stag2",0.157601164891191,-0.155395790719084,0.379,0.432,1
"9930022D16Rik",0.157681708562185,-0.0695900254883675,0.173,0.219,1
"Trim24",0.15775519404394,-0.0548514959257748,0.132,0.172,1
"Polr2a",0.157812243335543,-0.00395046795526532,0.489,0.562,1
"Arhgap4",0.157837404589721,-0.0898302630624347,0.137,0.177,1
"Card19",0.157939562016146,-0.129108414251195,0.518,0.578,1
"Abl2",0.157942404964766,-0.226605299233479,0.666,0.677,1
"Zbtb18",0.158286695052394,0.046400615535924,0.182,0.141,1
"Ralgapb",0.158352217632237,-0.0543058183354517,0.139,0.177,1
"Akt2",0.158379281332857,-0.046672440183361,0.245,0.302,1
"Gramd1a",0.15865520265861,0.133798923993323,0.508,0.458,1
"Emc3",0.158801747475828,-0.0348399587875807,0.274,0.323,1
"Rps2",0.158840985111835,0.0846423650336683,0.917,0.87,1
"Cd44",0.15902072081638,-0.0165273809008757,0.867,0.849,1
"Dnttip2",0.159172985502392,-0.0302448566892448,0.322,0.401,1
"Prdx2",0.159591082380268,0.171519115576312,0.572,0.547,1
"Caml",0.159838300888041,-0.0165083697235391,0.131,0.172,1
"Cep250",0.159847367602531,-0.0425570560974498,0.108,0.141,1
"Fam117b",0.159891358655265,0.308492105937977,0.425,0.396,1
"Rfx2",0.160125219285849,-0.0364290800516702,0.074,0.104,1
"Wars2",0.160613537324587,-0.121194322160932,0.276,0.323,1
"Cdc37l1",0.16071398298486,-0.0210781010240714,0.203,0.25,1
"Nufip2",0.161125250636268,-0.147353386143274,0.42,0.479,1
"Ttc33",0.161229863658079,-0.0390983731358912,0.087,0.12,1
"Psme4",0.161259253951228,-0.173434455049686,0.423,0.49,1
"Orc4",0.161401154365248,-0.0584378724082764,0.203,0.25,1
"Tox2",0.161497976665379,-0.236681886596654,0.17,0.208,1
"Tm4sf19",0.161728725908789,0.210176435271449,0.199,0.161,1
"Def6",0.161901611896463,0.0660408165996524,0.104,0.073,1
"Glmp",0.161980828422614,-0.0209641045809567,0.422,0.495,1
"Vegfb",0.162056879505266,-0.0275854668772809,0.131,0.172,1
"Gng2",0.162063081117958,-0.225761641995508,0.766,0.833,1
"Wls",0.162259543779501,-0.124351376354593,0.263,0.312,1
"Dctn5",0.162320422982215,-0.024258407808241,0.192,0.245,1
"Zdhhc5",0.162369000426472,-0.0337570648762973,0.199,0.245,1
"Ngly1",0.162381159811705,-0.033829398573713,0.134,0.177,1
"Ankrd17",0.162414883108647,-0.217499864385311,0.528,0.552,1
"Slc13a3",0.162754200359682,0.101575357682269,0.133,0.099,1
"Clic1",0.162826391333686,0.0829343148533308,0.745,0.714,1
"Vps28",0.163054918848562,0.125105173643102,0.363,0.323,1
"Jup",0.163082213970581,-0.03474399415094,0.375,0.443,1
"Fnta",0.163210047654883,-0.0575850086656351,0.121,0.161,1
"N4bp2l2",0.163216851296673,-0.125027179511245,0.412,0.484,1
"Lilr4b",0.163552700040356,0.147259290398597,0.866,0.87,1
"Emc9",0.16356844049244,-0.0274320809279535,0.084,0.115,1
"Rps27l",0.163622033678784,0.0983533450008189,0.677,0.656,1
"Prxl2b",0.16376605849602,-0.00343016821195308,0.297,0.359,1
"Stat5b",0.163784325959933,-0.0223613960860226,0.244,0.302,1
"Upf1",0.16380661837532,-0.0385124835671337,0.191,0.24,1
"Micu1",0.163880598540637,-0.269572429127996,0.497,0.536,1
"Micos10",0.163890795877709,-0.0618759682234964,0.647,0.682,1
"Psmg4",0.16391448641004,0.00456800335695584,0.268,0.333,1
"Uba7",0.163968695943167,-0.0404756159676821,0.159,0.203,1
"Coa6",0.164020706635161,0.06855722694629,0.115,0.083,1
"Sh3bp2",0.164031677193994,-0.0769778432980103,0.343,0.401,1
"Mnt",0.164041509369618,-0.140204250980224,0.359,0.411,1
"Pnpla2",0.164420162997415,0.0436411568107037,0.258,0.323,1
"Il10ra",0.164485783317576,0.0775545240132429,0.719,0.682,1
"Usp12",0.16467152825339,0.0110787624080515,0.36,0.438,1
"Pes1",0.164741688407743,-0.061426861469009,0.168,0.208,1
"Dhrs7b",0.165032397802099,0.0117389013738992,0.111,0.151,1
"Xylt2",0.165139492030048,6.4241057155412e-05,0.117,0.156,1
"Lcp1",0.165193363602019,0.00316034209686045,0.96,0.927,1
"Tmx4",0.165205325443016,-0.0776984410867332,0.152,0.198,1
"Ap1g1",0.165395212213841,-0.0708739943354845,0.307,0.349,1
"Gpr84",0.165428705590431,0.261915757583462,0.266,0.229,1
"Acad9",0.165501772490262,-0.0158528423392534,0.09,0.125,1
"Scarb2",0.165625545989777,-0.0267970168058987,0.426,0.49,1
"Med19",0.165833703259487,-0.0392382502102467,0.115,0.151,1
"Twf1",0.165850635504334,-0.0116688787775833,0.189,0.24,1
"Rnf166",0.165909099602477,-0.0132992841101836,0.189,0.24,1
"Tdg",0.165915367499506,-0.0679695202297986,0.148,0.188,1
"Syvn1",0.166161734128369,-0.0138878519191958,0.223,0.276,1
"Slc12a2",0.166394864117247,-0.0668222475116882,0.083,0.115,1
"Cd69",0.166445601547014,0.205080500220748,0.235,0.193,1
"Abi1",0.166470062451906,-0.0327855490638314,0.807,0.891,1
"Lrp1",0.166721613078864,0.129229252971035,0.383,0.354,1
"Ikzf5",0.166730556408964,0.00523554964257505,0.117,0.156,1
"P2ry2",0.166817937601819,-0.0320562843965355,0.084,0.115,1
"Mief1",0.166942321882794,-0.0894641437925759,0.109,0.141,1
"Wdr48",0.166996978939787,-0.0823394944055723,0.191,0.234,1
"Lamtor4",0.167240247566557,0.119438433974495,0.561,0.531,1
"Vav2",0.167306393130388,-0.0435496159525384,0.306,0.37,1
"Rpl9-ps6",0.167312174058306,0.131278839516921,0.261,0.234,1
"Morf4l1",0.167491711308512,-0.0679809362668815,0.774,0.828,1
"Rest",0.167560054409368,-0.0688541484564629,0.276,0.323,1
"Manbal",0.167639935866153,-0.0793167047919578,0.296,0.359,1
"Hnrnpdl",0.167870024278473,0.00546144993634745,0.563,0.625,1
"Dguok",0.167950362821164,0.0745286189496643,0.205,0.167,1
"Fbxo8",0.16808738046344,-0.067329173841035,0.084,0.115,1
"Fam168b",0.168245030920321,0.111385361110005,0.58,0.568,1
"Trappc9",0.168286541883383,-0.146465915029109,0.338,0.396,1
"Bri3bp",0.168363307293619,0.0541436225363195,0.115,0.083,1
"Fam76b",0.168397354083074,0.019980326146369,0.168,0.219,1
"Exosc8",0.168470845118837,-0.00524829621438277,0.172,0.219,1
"Dram2",0.168678566425971,-0.140948813994655,0.306,0.359,1
"Cd93",0.168860753532947,-0.0214049339469979,0.702,0.776,1
"Rnf4",0.169063371708229,-0.0635817047445625,0.29,0.339,1
"Dctn6",0.169089516427629,-0.0063196590700485,0.141,0.182,1
"Plcxd2",0.1691096056451,-0.133337562169326,0.08,0.109,1
"Diablo",0.169157640543487,-0.0348753648839954,0.154,0.198,1
"Psen2",0.169267094562478,0.088874868339955,0.197,0.161,1
"Tmcc3",0.169350774094153,-0.183310684937562,0.678,0.75,1
"Madd",0.16946506780111,0.0584048757960502,0.259,0.224,1
"Slc41a3",0.169550452734516,0.0852589689850707,0.1,0.073,1
"Taf6l",0.169593319527352,-0.0491068672486925,0.085,0.115,1
"Plekho2",0.169663005792334,-0.0673593876633061,0.788,0.87,1
"Rbm28",0.169675424729144,-0.023057177682976,0.27,0.339,1
"Adnp2",0.169953596936421,-0.0845178455922559,0.22,0.266,1
"Mpst",0.170042234500988,-0.00579932908208947,0.121,0.161,1
"Eci1",0.170173302258584,-0.0443121360870179,0.107,0.141,1
"Nfkbib",0.170175688022904,0.13364948322346,0.734,0.745,1
"Pop5",0.170251225032213,-0.0179972598517994,0.185,0.234,1
"Trmt2a",0.170538167912566,-0.0427444119065431,0.094,0.125,1
"Ube2g2",0.170543896268186,-0.047312209409145,0.234,0.286,1
"Csnk1d",0.170577809601547,-0.120746819090412,0.403,0.458,1
"Stard7",0.170729816411294,-0.0372093711774944,0.161,0.198,1
"Secisbp2",0.170871337578785,-0.108593942576626,0.156,0.193,1
"Ctif",0.170900732576208,0.0869100194647796,0.143,0.109,1
"Hfe",0.170998590893891,0.00788365895414811,0.336,0.406,1
"Dync1h1",0.171052770482353,-0.0150236689994792,0.416,0.484,1
"Vps50",0.171067728098252,-0.120799596754525,0.266,0.307,1
"Igfbp7",0.171366429695613,-0.319552124969287,0.086,0.115,1
"Cd14",0.171558917974861,0.121115450837126,0.843,0.839,1
"Aacs",0.171882451580873,-0.0279556359859487,0.079,0.109,1
"Rlim",0.171884959408979,-0.0938237829936149,0.48,0.542,1
"Zfp335",0.171933518476381,-0.0403861182484889,0.079,0.109,1
"Cd48",0.172060396798344,-0.0980705063148576,0.511,0.547,1
"Arl5b",0.172064480476736,-0.0760026458424141,0.55,0.589,1
"Sf1",0.172227764949279,-0.129355982201656,0.551,0.62,1
"Cog2",0.17227174273824,-0.0485652738917735,0.103,0.135,1
"Ccz1",0.172306942275294,-0.0540973740561637,0.267,0.318,1
"Arl8b",0.172311891174982,-0.0454215125058228,0.598,0.667,1
"Trappc13",0.172384936716854,-0.00777286691977669,0.086,0.12,1
"Rcc2",0.17241305146978,-0.00418807949725064,0.319,0.38,1
"Tagap1",0.1725584820205,0.119809988909816,0.35,0.312,1
"Stk17b",0.172603872218149,0.144850851746429,0.712,0.719,1
"Wbp4",0.172930226722838,-0.0470259790541278,0.291,0.344,1
"Neu1",0.173009386236956,-0.108650186539677,0.493,0.568,1
"Clec4d",0.173110140584238,-0.0816629636121309,0.394,0.443,1
"Bfar",0.173127937472594,-0.0365439461300609,0.27,0.318,1
"Rbbp4",0.173399265899765,-0.0455512220584968,0.377,0.438,1
"Dnajc4",0.17340319697492,0.0965577877813685,0.141,0.109,1
"Rbm33",0.173456138682733,-0.0108143917392259,0.247,0.302,1
"Cnih4",0.173460701683637,0.148042157450392,0.385,0.354,1
"Tbcc",0.173669296906183,0.0959798236588529,0.215,0.182,1
"Ubl3",0.173855772168767,0.137262894907176,0.792,0.818,1
"Myo5a",0.173858695964197,-0.313169444668736,0.701,0.755,1
"Mlec",0.173930968464655,-0.106372832946715,0.247,0.302,1
"Cdc37",0.173983667394297,-0.0534689156677458,0.511,0.573,1
"Ybx1",0.17399524664062,0.121409970805799,0.889,0.865,1
"Lats1",0.174200671720435,-0.0348585033518687,0.202,0.25,1
"Bdp1",0.174259193858665,-0.0763591582401785,0.247,0.286,1
"Sap18",0.174494352666682,-0.100519424516463,0.441,0.49,1
"Lin54",0.174555675850601,-0.00348384827742487,0.325,0.385,1
"Rpl36al",0.174675669119853,-0.100688184434609,0.811,0.807,1
"Atp5j",0.174740178327357,-0.092077235185706,0.621,0.646,1
"Stk38",0.175022354383153,-0.180625058361976,0.252,0.297,1
"H2-Ke6",0.17523131234413,0.0231727553079807,0.152,0.198,1
"Wdr36",0.175359964441264,-0.0483313097160973,0.125,0.161,1
"Rrp15",0.175396191729703,-0.0419946643480769,0.109,0.146,1
"Secisbp2l",0.175578575641655,-0.0161788693448859,0.303,0.37,1
"Ttpal",0.175659193279249,-0.138606734651512,0.141,0.172,1
"Sdhaf2",0.175675081825532,-0.00667739753713634,0.16,0.203,1
"Specc1",0.175701823293026,-0.0941953681255248,0.468,0.417,1
"Dram1",0.176050143529249,-0.0140533090485034,0.204,0.255,1
"Myef2",0.176061916930462,-0.0241150544335664,0.15,0.193,1
"Srsf6",0.176601602997506,-0.0936995151962422,0.429,0.474,1
"Wdpcp",0.176750835921702,-0.00871426199531067,0.075,0.104,1
"Rfc2",0.176760418144923,-0.0360232396350222,0.209,0.26,1
"Irf5",0.176761494112895,-0.0595290120261913,0.562,0.667,1
"Nfkb1",0.176790702131199,0.119032528787544,0.922,0.938,1
"Ndufa13",0.176803746732666,0.129672384863843,0.694,0.661,1
"Mcfd2",0.176893275721811,-0.256656029362818,0.308,0.349,1
"Ep400",0.177331650455396,-0.0362124287092218,0.433,0.505,1
"Ocrl",0.177349957809234,0.0924895214832971,0.193,0.156,1
"Ruvbl1",0.177522644234804,-0.0289406158502502,0.127,0.167,1
"Gapvd1",0.177798193872348,-0.108147090600928,0.431,0.479,1
"Map3k4",0.177805981798663,-0.0365586982011182,0.139,0.177,1
