NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_118	Tgfbr2	na	8457	-0.1810215562582016	-0.39119554	No	
row_119	Mfhas1	na	8542	-0.18762102723121643	-0.39668137	No	
row_120	Mpp7	na	8626	-0.1958339512348175	-0.40206334	No	
row_121	Rcn3	na	8644	-0.19795770943164825	-0.4025831	No	
row_122	Gns	na	8669	-0.20045995712280273	-0.40360847	No	
row_123	Coq10b	na	8720	-0.20365752279758453	-0.4065344	No	
row_124	Arhgap18	na	8726	-0.20442421734333038	-0.4061477	No	
row_125	Jdp2	na	8770	-0.20801232755184174	-0.40854266	No	
row_126	Pld3	na	8772	-0.2084377557039261	-0.40784693	No	
row_127	Klf6	na	8783	-0.209148108959198	-0.40781054	No	
row_128	Txn1	na	8880	-0.21971715986728668	-0.41406053	No	
row_129	Pitpnc1	na	8889	-0.22022412717342377	-0.41383615	No	
row_130	Nbeal1	na	8931	-0.22373123466968536	-0.41602603	No	
row_131	Nek1	na	9003	-0.23083099722862244	-0.4203962	No	
row_132	Abcc3	na	9139	-0.24229958653450012	-0.42943135	No	
row_133	Myc	na	9266	-0.25195491313934326	-0.43776888	No	
row_134	Zdhhc14	na	9338	-0.2589888572692871	-0.44203517	No	
row_135	Calml4	na	9378	-0.2622113823890686	-0.4439359	No	
row_136	Ago3	na	9524	-0.27902117371559143	-0.45357102	No	
row_137	Mr1	na	9590	-0.285918653011322	-0.45729658	No	
row_138	Nfkbia	na	9606	-0.2877238392829895	-0.45733795	No	
row_139	Zfp667	na	9623	-0.2890792191028595	-0.45744786	No	
row_140	Pld1	na	9660	-0.29256197810173035	-0.45901594	No	
row_141	Cd84	na	9677	-0.29379647970199585	-0.45910844	No	
row_142	Cryl1	na	9710	-0.297184556722641	-0.46036527	No	
row_143	Serinc1	na	9779	-0.30425387620925903	-0.46424383	No	
row_144	Mgat4b	na	9943	-0.326511949300766	-0.47502756	No	
row_145	Jun	na	9976	-0.3305800259113312	-0.47616112	No	
row_146	Adgre1	na	9991	-0.33222952485084534	-0.4759647	No	
row_147	Tbc1d4	na	10114	-0.34382933378219604	-0.48366895	No	
row_148	Pparg	na	10247	-0.3603954017162323	-0.49204758	No	
row_149	Kif13b	na	10260	-0.36158889532089233	-0.49159566	No	
row_150	Slc12a7	na	10333	-0.3729551136493683	-0.49551487	No	
row_151	Arhgef40	na	10384	-0.37990015745162964	-0.4977903	No	
row_152	Inka1	na	10390	-0.3801814615726471	-0.49675494	No	
row_153	Btbd19	na	10444	-0.38821953535079956	-0.49922034	No	
row_154	Dock7	na	10457	-0.39018502831459045	-0.4986629	No	
row_155	Jmjd1c	na	10473	-0.3918397128582001	-0.49831998	No	
row_156	Atxn1	na	10537	-0.40227049589157104	-0.5014691	No	
row_157	Garnl3	na	10597	-0.4086625576019287	-0.5043003	No	
row_158	Cep68	na	10601	-0.40915682911872864	-0.50301087	No	
row_159	Akr1b10	na	10797	-0.42481520771980286	-0.51578546	No	
row_160	Dsel	na	10821	-0.4283253252506256	-0.5158963	No	
row_161	Tmed5	na	10884	-0.43579259514808655	-0.5188481	No	
row_162	Lmbrd2	na	10910	-0.4383412003517151	-0.5190691	No	
row_163	Myo9a	na	10990	-0.44665515422821045	-0.52323115	No	
row_164	Cflar	na	11238	-0.479862242937088	-0.5396272	No	
row_165	Blvrb	na	11324	-0.49141186475753784	-0.5440654	No	
row_166	Gpnmb	na	11404	-0.5047113299369812	-0.5480132	No	
row_167	Phlda1	na	11406	-0.5049654841423035	-0.54622304	No	
row_168	Snx13	na	11418	-0.5084957480430603	-0.5451554	No	
row_169	Itpripl2	na	11455	-0.5149216651916504	-0.54590285	No	
row_170	Acsl4	na	11467	-0.5170964002609253	-0.54480344	No	
row_171	Rgl1	na	11559	-0.5334022045135498	-0.54952794	No	
row_172	Frmd4b	na	11653	-0.5505555272102356	-0.55433625	No	
row_173	Pon3	na	11797	-0.5745276212692261	-0.56273365	No	
row_174	Pde4dip	na	11801	-0.5751872658729553	-0.5608315	No	
row_175	Dmxl1	na	11813	-0.5774760842323303	-0.5595092	No	
row_176	Wnk1	na	11854	-0.5873973369598389	-0.56028336	No	
row_177	Tpcn2	na	11892	-0.5971200466156006	-0.56080097	No	
row_178	Smim15	na	11901	-0.5984206199645996	-0.55918074	No	
row_179	March8	na	11912	-0.6021246910095215	-0.557694	No	
row_180	Kcnk6	na	12037	-0.6333011984825134	-0.564477	No	
row_181	Adk	na	12050	-0.6356762647628784	-0.56301355	No	
row_182	Cttnbp2nl	na	12061	-0.6381998658180237	-0.5613936	No	
row_183	Plgrkt	na	12187	-0.6516789793968201	-0.56818235	No	
row_184	Cdk14	na	12207	-0.6560794115066528	-0.5671584	No	
row_185	Asph	na	12210	-0.6568145751953125	-0.56488144	No	
row_186	Lonrf3	na	12240	-0.6657444834709167	-0.5645573	No	
row_187	Fnbp1l	na	12333	-0.6922317743301392	-0.5687692	Yes	
row_188	Slf1	na	12335	-0.6932052373886108	-0.56628436	Yes	
row_189	Slc17a5	na	12340	-0.6944723725318909	-0.56401545	Yes	
row_190	Hpgds	na	12406	-0.7126691341400146	-0.566166	Yes	
row_191	Blvra	na	12444	-0.7267247438430786	-0.56620526	Yes	
row_192	Cmbl	na	12467	-0.7323504686355591	-0.5651205	Yes	
row_193	Sfmbt1	na	12468	-0.7325376272201538	-0.5624169	Yes	
row_194	St7	na	12510	-0.7414389252662659	-0.5626961	Yes	
row_195	Kdelc2	na	12572	-0.7635016441345215	-0.56436485	Yes	
row_196	Lgmn	na	12582	-0.7666009068489075	-0.5621975	Yes	
row_197	Hpn	na	12606	-0.7728952765464783	-0.56103665	Yes	
row_198	Agpat3	na	12621	-0.777612030506134	-0.5591964	Yes	
row_199	Blnk	na	12715	-0.8160665035247803	-0.5630248	Yes	
row_200	Slc41a2	na	12716	-0.8161523342132568	-0.56001264	Yes	
row_201	Abhd12	na	12736	-0.8281155228614807	-0.5583538	Yes	
row_202	Mpp5	na	12751	-0.834502100944519	-0.55630356	Yes	
row_203	Got1	na	12753	-0.8361729979515076	-0.5532911	Yes	
row_204	Tmem87b	na	12776	-0.8493282198905945	-0.55177456	Yes	
row_205	Dhrs3	na	12785	-0.8516425490379333	-0.5492198	Yes	
row_206	Wwp1	na	12790	-0.8530031442642212	-0.5463658	Yes	
row_207	Sbf2	na	12815	-0.8585022687911987	-0.5449626	Yes	
row_208	Rasgrp3	na	12835	-0.8676441311836243	-0.5431578	Yes	
row_209	Cpeb4	na	12865	-0.8844881653785706	-0.5420264	Yes	
row_210	Gadd45b	na	12876	-0.8900926113128662	-0.5394769	Yes	
row_211	Arhgap22	na	12887	-0.8934059143066406	-0.53691506	Yes	
row_212	Ifrd1	na	12892	-0.8968481421470642	-0.53389925	Yes	
